2020-Aug-15 22:42:37.016152 UTC  57533898 00:00:00
2020-Aug-15 22:42:39.445000 UTC  57533899 0:00:02.428848
2020-Aug-15 22:42:44.301198 UTC  57533900 0:00:04.856198
2020-Aug-15 22:42:46.786484 UTC  57533901 0:00:02.485286
2020-Aug-15 22:42:51.945771 UTC  57533902 0:00:05.159287
2020-Aug-15 22:42:54.389598 UTC  57533903 0:00:02.443827
2020-Aug-15 22:42:59.648490 UTC  57533904 0:00:05.258892
2020-Aug-15 22:43:04.596009 UTC  57533905 0:00:04.947519
2020-Aug-15 22:43:07.047423 UTC  57533906 0:00:02.451414
2020-Aug-15 22:43:11.961315 UTC  57533907 0:00:04.913892
2020-Aug-15 22:43:14.424790 UTC  57533908 0:00:02.463475
2020-Aug-15 22:43:19.524593 UTC  57533909 0:00:05.099803
2020-Aug-15 22:43:25.096780 UTC  57533910 0:00:05.572187
2020-Aug-15 22:43:27.604284 UTC  57533911 0:00:02.507504
2020-Aug-15 22:43:32.469630 UTC  57533912 0:00:04.865346
2020-Aug-15 22:43:35.256486 UTC  57533913 0:00:02.786856
2020-Aug-15 22:43:40.188520 UTC  57533914 0:00:04.932034
